name,online_order,book_table,rate,votes,cost_for_two,restaurant_type,rating_band,cost_band
Jalsa,Yes,Yes,4.1,775,800,Buffet,4.0+,700+
Spice Elephant,Yes,No,4.1,787,800,Buffet,4.0+,700+
San Churro Cafe,Yes,No,3.8,918,800,Buffet,3.5-4.0,700+
Addhuri Udupi Bhojana,No,No,3.7,88,300,Buffet,3.5-4.0,Under 300
Grand Village,No,No,3.8,166,600,Buffet,3.5-4.0,500-700
Timepass Dinner,Yes,No,3.8,286,600,Buffet,3.5-4.0,500-700
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,800,Buffet,3.5-4.0,700+
Onesta,Yes,Yes,4.6,2556,600,Cafes,4.0+,500-700
Penthouse Cafe,Yes,No,4.0,324,700,other,3.5-4.0,500-700
Smacznego,Yes,No,4.2,504,550,Cafes,4.0+,500-700
Village Café,Yes,No,4.1,402,500,Cafes,4.0+,300-500
Cafe Shuffle,Yes,Yes,4.2,150,600,Cafes,4.0+,500-700
The Coffee Shack,Yes,Yes,4.2,164,500,Cafes,4.0+,300-500
Caf-Eleven,No,No,4.0,424,450,Cafes,3.5-4.0,300-500
San Churro Cafe,Yes,No,3.8,918,800,Cafes,3.5-4.0,700+
Cafe Vivacity,Yes,No,3.8,90,650,Cafes,3.5-4.0,500-700
Catch-up-ino,Yes,No,3.9,133,800,Cafes,3.5-4.0,700+
Kirthi's Biryani,Yes,No,3.8,144,700,Cafes,3.5-4.0,500-700
T3H Cafe,No,No,3.9,93,300,Cafes,3.5-4.0,Under 300
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,400,Cafes,3.0-3.5,300-500
The Vintage Cafe,Yes,No,3.0,62,400,Cafes,Below 3,300-500
Woodee Pizza,Yes,No,3.7,180,500,Cafes,3.5-4.0,300-500
Cafe Coffee Day,No,No,3.6,28,900,Cafes,3.5-4.0,700+
My Tea House,Yes,No,3.6,62,600,Cafes,3.5-4.0,500-700
Hide Out Cafe,No,No,3.7,31,300,Cafes,3.5-4.0,Under 300
CAFE NOVA,No,No,3.2,11,600,Cafes,3.0-3.5,500-700
Coffee Tindi,Yes,No,3.8,75,200,Cafes,3.5-4.0,Under 300
Sea Green Cafe,No,No,3.3,4,500,Cafes,3.0-3.5,300-500
Cuppa,No,No,3.3,23,550,Cafes,3.0-3.5,500-700
Srinathji's Cafe,No,No,3.8,148,550,Cafes,3.5-4.0,500-700
Redberrys,Yes,No,4.0,219,600,Cafes,3.5-4.0,500-700
Foodiction,Yes,No,2.8,506,500,other,Below 3,300-500
Sweet Truth,Yes,No,3.9,35,500,Dining,3.5-4.0,300-500
Ovenstory Pizza,Yes,No,3.9,172,750,Dining,3.5-4.0,700+
Faasos,Yes,No,4.2,415,500,other,4.0+,300-500
Behrouz Biryani,Yes,No,3.9,230,650,Dining,3.5-4.0,500-700
Fast And Fresh,Yes,No,2.8,91,400,Dining,Below 3,300-500
Szechuan Dragon,Yes,No,4.2,1647,600,Dining,4.0+,500-700
Empire Restaurant,Yes,No,4.4,4884,750,other,4.0+,700+
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,150,Dining,3.5-4.0,Under 300
Chaatimes,Yes,No,3.8,133,200,Dining,3.5-4.0,Under 300
Havyaka Mess,No,No,3.9,28,300,Dining,3.5-4.0,Under 300
McDonald's,Yes,No,3.9,286,500,Dining,3.5-4.0,300-500
Domino's Pizza,Yes,No,3.9,540,800,Dining,3.5-4.0,700+
Onesta,Yes,Yes,4.6,2556,600,other,4.0+,500-700
Hotboxit,No,No,3.8,36,400,Dining,3.5-4.0,300-500
Kitchen Garden,Yes,No,3.6,244,300,Dining,3.5-4.0,Under 300
Recipe,Yes,No,4.0,804,450,Dining,3.5-4.0,300-500
Beijing Bites,Yes,No,3.7,679,850,Dining,3.5-4.0,700+
Tasty Bytes,Yes,No,3.1,245,300,Dining,3.0-3.5,Under 300
Petoo,No,No,3.7,21,450,Dining,3.5-4.0,300-500
Shree Cool Point,Yes,No,4.1,28,150,Dining,4.0+,Under 300
Corner House Ice Cream,No,No,4.3,345,400,Dining,4.0+,300-500
Biryanis And More,Yes,No,4.0,618,750,Dining,3.5-4.0,700+
Roving Feast,No,No,4.0,1047,450,Dining,3.5-4.0,300-500
FreshMenu,Yes,No,3.9,627,450,Dining,3.5-4.0,300-500
